word,score
авторский_ADJ,0
адекватный_ADJ,0
адоптировать_ADJ,0
азиатский_ADJ,0
аккуратненький_ADJ,0
аккуратно_ADJ,0
аккуратный_ADJ,1
актуальный_ADJ,0
алкогольно_ADJ,0
апельсиновый_ADJ,0
аппетитный_ADJ,1
аристократичный_ADJ,0
армянский_ADJ,0
ароматно_ADJ,0
ароматно_ADV,0
аскетичен_ADJ,0
аскетичный_ADJ,0
атмосферный_ADJ,0
аутентичнать_ADJ,0
аутентичность_NOUN,1
аутентичный_ADJ,0
бабахнуть_VERB,1
баварский_ADJ,0
банальный_ADJ,0
банда_NOUN,1
бандит_NOUN,1
бандит_VERB,1
барный_ADJ,0
бархатный_ADJ,0
бедолага_NOUN,1
бежевой_ADJ,0
безалкогольный_ADJ,0
безвкусный_ADJ,0
бездарь_NOUN,1
бездействовать_VERB,1
беззаботный_ADJ,0
безмятежность_NOUN,0
безмятежный_ADJ,0
безукоризненный_ADJ,0
безумно_ADJ,0
безупречный_ADJ,0
безусловный_ADJ,0
белый_ADJ,0
бережный_ADJ,0
бескостный_ADJ,0
бесплатный_ADJ,0
бесподобный_ADJ,0
бесполезный_ADJ,0
беспредел_NOUN,1
бессмысленно_ADJ,1
бессмысленный_ADJ,1
бестолковый_ADJ,0
бесхитростный_ADJ,0
благовоспитанный_ADJ,0
благодарить_NOUN,0
благодарить_VERB,0
благодарный_ADJ,0
благодушие_NOUN,0
благодушный_ADJ,0
благожелательность_NOUN,0
благожелательный_ADJ,0
благонравный_ADJ,0
благоприятный_ADJ,0
благородный_ADJ,0
благосклонный_ADJ,0
благостный_ADJ,0
благотворный_ADJ,0
блевать_VERB,1
бледный_ADJ,0
блестючий_ADJ,0
блестящий_ADJ,0
близкий_ADJ,0
близко_ADJ,0
блокировать_VERB,1
богатый_ADJ,1
бодрить_ADJ,0
бодрый_ADJ,0
бодрый_NOUN,0
бодрящий_ADJ,0
божественнный_ADJ,0
больше_ADJ,0
больший_ADJ,0
большой_ADJ,1
бомба_NOUN,1
бомбить_VERB,1
бомж_NOUN,1
брехня_NOUN,1
брусничный_ADJ,0
брутальный_ADJ,0
бубнить_VERB,1
будничный_ADJ,0
буйный_ADJ,0
буксовать_VERB,1
бульдозер_NOUN,1
бумажный_ADJ,0
бунт_NOUN,1
бунтовать_VERB,1
буржуе_NOUN,1
быдло_NOUN,1
быстро_ADJ,1
быстрый_ADJ,1
быстый_ADJ,0
бюджетный_ADJ,0
важный_ADJ,0
вариативный_ADJ,0
варёный_ADJ,0
ватный_ADJ,0
ваш_ADJ,0
вгрызаться_VERB,1
вдумчивый_ADJ,0
вежливо_ADJ,0
вежливой_ADJ,0
вежливый_NOUN,0
вежливый_VERB,0
великолепный_ADJ,0
верный_ADJ,0
веселенький_ADJ,0
весело_ADJ,0
веселость_NOUN,0
веселый_NOUN,0
веселый_VERB,0
веселящий_ADJ,0
весеть_ADJ,0
веской_ADJ,0
весёлый_ADJ,0
взбитый_ADJ,0
взбунтоваться_VERB,1
взвывать_VERB,1
взвыть_VERB,1
взорвать_VERB,1
взреветь_VERB,1
взрывать_VERB,1
взыскательный_ADJ,0
видный_ADJ,0
видовой_ADJ,0
винный_ADJ,0
вишневой_ADJ,0
вкуснее_ADV,0
вкусно_ADJ,0
вкусно_ADV,0
вкусный_ADJ,0
власть_NOUN,1
вляпаться_VERB,1
вменяемой_ADJ,0
вменяемый_ADJ,0
вместительный_ADJ,0
внимательность_NOUN,0
внушительный_ADJ,0
вогнать_VERB,1
водянистый_ADJ,0
воздушно_ADJ,0
воздушный_ADJ,0
возможно_ADJ,0
возомнить_VERB,1
волевой_ADJ,0
волновать_ADJ,0
волочь_VERB,1
волшебной_ADJ,0
волшебный_ADJ,0
вопить_VERB,1
вор_NOUN,1
воровать_VERB,1
воровка_NOUN,1
воспитанный_ADJ,0
восприимчивый_ADJ,0
восточный_ADJ,0
восхитительный_ADJ,0
восхищенный_VERB,0
восьмикусковый_ADJ,0
вохр_NOUN,1
вредно_ADJ,0
врубаться_VERB,1
всеобщий_ADJ,0
всяческий_ADJ,0
въедливый_ADJ,0
выдергивать_VERB,1
выдернуть_VERB,1
вызов_ADJ,1
выкатить_VERB,1
выкрикивать_VERB,1
выкрикнуть_VERB,1
вылавливать_VERB,1
выплевывать_VERB,1
выразительный_ADJ,0
выразить_ADJ,0
высокий_ADJ,0
высоко_ADJ,0
высококвалифицированный_ADJ,0
высокопрофессиональный_ADJ,0
вытворить_VERB,1
выходна_ADJ,0
вычурный_ADJ,0
гад_NOUN,1
газированый_ADJ,0
галантный_ADJ,0
галдеть_VERB,1
гармонично_ADJ,0
гармоничный_ADJ,0
гастрономический_ADJ,0
геноцид_NOUN,1
гигантской_ADJ,0
главное_ADJ,0
главный_ADJ,0
глазированный_ADJ,0
гламурно_ADJ,0
гламурный_ADJ,0
глубокий_ADJ,0
глумиться_VERB,1
глупо_ADJ,0
