общем	общий	ADJ	case	В	в	ADP	_	_	_	_	6748.215709535015	1735
вкусно	вкусный	ADJ	obl	очень	очень	ADV	_	_	_	_	3064.895665195154	788
общем	общий	ADJ	case	в	в	ADP	_	_	_	_	2512.5921316193776	646
вкусно	вкусный	ADJ	cop	было	быть	AUX	_	_	_	_	1812.4890608895198	466
довольны	довольный	ADJ	obl	очень	очень	ADV	_	_	_	_	1232.95929678536	317
вкусно	вкусный	ADJ	nsubj	все	все	PRON	_	_	_	_	1147.3911436961553	295
вкусная	вкусный	ADJ	obl	очень	очень	ADV	_	_	_	_	1112.3859901596625	286
приятно	приятный	ADJ	obl	очень	очень	ADV	_	_	_	_	1081.2702981272244	278
вкусные	вкусный	ADJ	obl	очень	очень	ADV	_	_	_	_	1019.038914062348	262
вкусно	вкусный	ADJ	cc	и	и	CCONJ	_	_	_	_	999.5916065420744	257
вкусный	вкусный	ADJ	obl	очень	очень	ADV	_	_	_	_	980.1442990218004	252
вкусно	вкусный	ADJ	nsubj	Все	все	PRON	_	_	_	_	898.4656074366504	231
некурящих	некурящий	ADJ	case	для	для	ADP	_	_	_	_	882.9077614204313	227
приятно	приятный	ADJ	cop	было	быть	AUX	_	_	_	_	750.6660702825693	193
удобно	удобный	ADJ	obl	очень	очень	ADV	_	_	_	_	727.3293012582408	187
вкусно	вкусный	ADJ	cc	но	но	CCONJ	_	_	_	_	715.6609167460765	184
хорошо	хороший	ADJ	nsubj	все	все	PRON	_	_	_	_	711.7714552420217	183
основном	основной	ADJ	case	в	в	ADP	_	_	_	_	696.2136092258028	179
вкусно	вкусный	ADJ	obl	Очень	очень	ADV	_	_	_	_	676.7663017055289	174
вкусная	вкусный	ADJ	nsubj	Еда	еда	NOUN	_	_	_	_	665.0979171933645	171
приятно	приятный	ADJ	cc	и	и	CCONJ	_	_	_	_	661.2084556893097	170
приятный	приятный	ADJ	obl	очень	очень	ADV	_	_	_	_	649.5400711771456	167
уютно	уютный	ADJ	obl	очень	очень	ADV	_	_	_	_	587.3086871122694	151
хорошее	хороший	ADJ	obl	очень	очень	ADV	_	_	_	_	579.5297641041598	149
понятно	понятный	ADJ	advmod	не	не	PART	_	_	_	_	567.8613795919954	146
нужно	нужный	ADJ	cop	было	быть	AUX	_	_	_	_	548.4140720717216	141
нужно	нужный	ADJ	mark	что	что	SCONJ	_	_	_	_	548.4140720717216	141
хорошо	хороший	ADJ	obl	очень	очень	ADV	_	_	_	_	536.7456875595574	138
должно	должен	ADJ	xcomp	быть	быть	VERB	_	_	_	_	525.077303047393	135
вкусное	вкусный	ADJ	obl	очень	очень	ADV	_	_	_	_	505.62999552711926	130
приятное	приятный	ADJ	obl	очень	очень	ADV	_	_	_	_	501.74053402306447	129
вкусный	вкусный	ADJ	cc	и	и	CCONJ	_	_	_	_	490.0721495109002	126
приятная	приятный	ADJ	obl	очень	очень	ADV	_	_	_	_	470.6248419906264	121
вкусные	вкусный	ADJ	cc	и	и	CCONJ	_	_	_	_	462.8459189825169	119
плохо	плохой	ADJ	advmod	не	не	PART	_	_	_	_	462.8459189825169	119
хорошее	хороший	ADJ	nsubj	Обслуживание	обслуживание	NOUN	_	_	_	_	462.8459189825169	119
нужно	нужный	ADJ	advmod	не	не	PART	_	_	_	_	458.95645747846214	118
общем	общий	ADJ	discourse	то	то	PART	_	_	_	_	447.2880729662978	115
хорошо	хороший	ADJ	cop	было	быть	AUX	_	_	_	_	443.398611462243	114
невозможно	невозможный	ADJ	cop	было	быть	AUX	_	_	_	_	435.61968845413355	112
лучших	лучший	ADJ	case	из	из	ADP	_	_	_	_	423.95130394196923	109
нужно	нужный	ADJ	nsubj	что	что	PRON	_	_	_	_	404.50399642169543	104
хороший	хороший	ADJ	obl	очень	очень	ADV	_	_	_	_	377.27776589331205	97
уютно	уютный	ADJ	cc	и	и	CCONJ	_	_	_	_	373.3883043892573	96
первый	первый	ADJ	advmod	не	не	PART	_	_	_	_	373.3883043892573	96
самое	самый	ADJ	advmod	не	не	PART	_	_	_	_	369.4988428852026	95
приятный	приятный	ADJ	nsubj	Интерьер	интерьер	NOUN	_	_	_	_	365.6093813811478	94
странно	странный	ADJ	advmod	ни	ни	PART	_	_	_	_	365.6093813811478	94
остальном	остальной	ADJ	case	В	в	ADP	_	_	_	_	361.719919877093	93
уютный	уютный	ADJ	obl	очень	очень	ADV	_	_	_	_	361.719919877093	93
важно	важный	ADJ	nsubj	это	это	PRON	_	_	_	_	361.719919877093	93
приятно	приятный	ADJ	nsubj	что	что	PRON	_	_	_	_	361.719919877093	93
остальном	остальной	ADJ	case	в	в	ADP	_	_	_	_	357.83045837303825	92
большие	большой	ADJ	nsubj	Порции	порция	NOUN	_	_	_	_	353.94099686898346	91
довольны	довольный	ADJ	cop	были	быть	AUX	_	_	_	_	353.94099686898346	91
вкусным	вкусный	ADJ	obl	очень	очень	ADV	_	_	_	_	353.94099686898346	91
хорош	хороший	ADJ	cop	был	быть	AUX	_	_	_	_	346.162073860874	89
вкусное	вкусный	ADJ	cc	и	и	CCONJ	_	_	_	_	342.2726123568192	88
горячее	горячий	ADJ	cc	и	и	CCONJ	_	_	_	_	338.38315085276446	87
нужно	нужный	ADJ	cc	и	и	CCONJ	_	_	_	_	334.49368934870967	86
приятные	приятный	ADJ	obl	очень	очень	ADV	_	_	_	_	318.9358433324906	82
уютный	уютный	ADJ	cc	и	и	CCONJ	_	_	_	_	318.9358433324906	82
большие	большой	ADJ	nsubj	порции	порция	NOUN	_	_	_	_	311.1569203243811	80
вкусный	вкусный	ADJ	cop	был	быть	AUX	_	_	_	_	311.1569203243811	80
дорого	дорогой	ADJ	advmod	не	не	PART	_	_	_	_	303.3779973162716	78
приятно	приятный	ADJ	cc	но	но	CCONJ	_	_	_	_	299.4885358122168	77
приятно	приятный	ADJ	obl	Очень	очень	ADV	_	_	_	_	295.599074308162	76
приятно	приятный	ADJ	cc	а	а	CCONJ	_	_	_	_	295.599074308162	76
большой	большой	ADJ	obl	очень	очень	ADV	_	_	_	_	295.599074308162	76
вкусная	вкусный	ADJ	cop	была	быть	AUX	_	_	_	_	291.7096128041073	75
должно	должен	ADJ	advmod	не	не	PART	_	_	_	_	291.7096128041073	75
хорош	хороший	ADJ	obl	очень	очень	ADV	_	_	_	_	291.7096128041073	75
довольны	довольный	ADJ	cc	и	и	CCONJ	_	_	_	_	291.7096128041073	75
хорошая	хороший	ADJ	obl	очень	очень	ADV	_	_	_	_	291.7096128041073	75
возможно	возможный	ADJ	advmod	не	не	PART	_	_	_	_	287.8201513000525	74
приятное	приятный	ADJ	obl	Очень	очень	ADV	_	_	_	_	287.8201513000525	74
вкусная	вкусный	ADJ	cc	и	и	CCONJ	_	_	_	_	283.9306897959977	73
странно	странный	ADJ	obl	как	как	ADV	_	_	_	_	283.9306897959977	73
