ресторане	ресторан	NOUN	case	в	в	ADP	_	_	_	_	2818.0872850963415	3019
зале	зал	NOUN	case	в	в	ADP	_	_	_	_	1715.6821563455037	1838
меню	меню	NOUN	case	в	в	ADP	_	_	_	_	1483.2529632388494	1589
ресторан	ресторан	NOUN	case	в	в	ADP	_	_	_	_	1206.0181425453704	1292
раз	раз	NOUN	case	в	в	ADP	_	_	_	_	1080.0023149574254	1157
уровне	уровень	NOUN	case	на	на	ADP	_	_	_	_	1077.2019632332488	1154
минут	минута	NOUN	nummod	0	0	NUM	_	_	_	_	929.7167724266168	996
друзьями	друг	NOUN	case	с	с	ADP	_	_	_	_	891.4452988628705	955
ресторан	ресторан	NOUN	det	этот	этот	DET	_	_	_	_	880.2438919661643	943
заведении	заведение	NOUN	case	в	в	ADP	_	_	_	_	831.7044620804373	891
взгляд	взгляд	NOUN	det	мой	мой	DET	_	_	_	_	815.8358023101034	874
ресторане	ресторан	NOUN	det	этом	этот	DET	_	_	_	_	793.432988516691	850
вкус	вкус	NOUN	case	на	на	ADP	_	_	_	_	777.5643287463572	833
время	время	NOUN	case	в	в	ADP	_	_	_	_	732.7587011595323	785
раз	раз	NOUN	amod	первый	первый	ADJ	_	_	_	_	730.8918000100813	783
раз	раз	NOUN	obl	еще	еще	ADV	_	_	_	_	727.1579977111792	779
целом	целое	NOUN	case	в	в	ADP	_	_	_	_	726.2245471364537	778
целом	целое	NOUN	case	В	в	ADP	_	_	_	_	718.7569425386496	770
столе	стол	NOUN	case	на	на	ADP	_	_	_	_	700.087931044139	750
городе	город	NOUN	case	в	в	ADP	_	_	_	_	699.1544804694136	749
взгляд	взгляд	NOUN	case	на	на	ADP	_	_	_	_	695.4206781705116	745
итоге	итог	NOUN	case	В	в	ADP	_	_	_	_	691.6868758716095	741
минут	минута	NOUN	nummod	5	5	NUM	_	_	_	_	687.9530735727075	737
место	место	NOUN	det	это	этот	DET	_	_	_	_	633.8129402386273	679
соусом	соус	NOUN	case	с	с	ADP	_	_	_	_	615.1439287441169	659
день	день	NOUN	case	в	в	ADP	_	_	_	_	583.4066092034493	625
центре	центр	NOUN	case	в	в	ADP	_	_	_	_	575.0055540309196	616
минут	минута	NOUN	nummod	1	1	NUM	_	_	_	_	565.6710482836644	606
сожалению	сожаление	NOUN	case	к	к	ADP	_	_	_	_	561.0037954100368	601
мужем	муж	NOUN	case	с	с	ADP	_	_	_	_	558.2034436858603	598
месте	место	NOUN	case	в	в	ADP	_	_	_	_	533.9337287429968	572
минут	минута	NOUN	case	через	через	ADP	_	_	_	_	533.9337287429968	572
соусе	соус	NOUN	case	в	в	ADP	_	_	_	_	525.5326735704671	563
восторге	восторг	NOUN	case	в	в	ADP	_	_	_	_	522.7323218462906	560
зал	зал	NOUN	case	в	в	ADP	_	_	_	_	520.8654206968395	558
кафе	кафе	NOUN	case	в	в	ADP	_	_	_	_	516.198167823212	553
этаже	этаж	NOUN	case	на	на	ADP	_	_	_	_	510.59746437485876	547
день	день	NOUN	nmod	рождения	рождение	NOUN	_	_	_	_	479.7935954089167	514
человек	человек	NOUN	amod	молодой	молодой	ADJ	_	_	_	_	478.8601448341912	513
грибами	гриб	NOUN	case	с	с	ADP	_	_	_	_	467.65873793748494	501
итоге	итог	NOUN	case	в	в	ADP	_	_	_	_	463.9249356385829	497
столик	столик	NOUN	case	за	за	ADP	_	_	_	_	460.1911333396808	493
стиле	стиль	NOUN	case	в	в	ADP	_	_	_	_	459.2576827649553	492
районе	район	NOUN	case	в	в	ADP	_	_	_	_	454.5904298913277	487
удовольствием	удовольствие	NOUN	case	с	с	ADP	_	_	_	_	450.8566275924256	483
креветками	креветка	NOUN	case	с	с	ADP	_	_	_	_	447.12282529352353	479
принципе	принцип	NOUN	case	в	в	ADP	_	_	_	_	446.18937471879804	478
раз	раз	NOUN	det	этот	этот	DET	_	_	_	_	408.85135172977726	438
сыром	сыр	NOUN	case	с	с	ADP	_	_	_	_	398.58339540779656	427
подругой	подруга	NOUN	case	с	с	ADP	_	_	_	_	398.58339540779656	427
заведение	заведение	NOUN	det	это	этот	DET	_	_	_	_	397.649944833071	426
раз	раз	NOUN	nummod:gov	несколько	несколько	NUM	_	_	_	_	395.78304368362	424
заведении	заведение	NOUN	det	этом	этот	DET	_	_	_	_	392.04924138471796	420
стол	стол	NOUN	case	на	на	ADP	_	_	_	_	392.04924138471796	420
улице	улица	NOUN	case	на	на	ADP	_	_	_	_	388.31543908581585	416
вкусу	вкус	NOUN	case	по	по	ADP	_	_	_	_	386.4485379363648	414
говядины	говядина	NOUN	case	из	из	ADP	_	_	_	_	375.24713103965854	402
заведение	заведение	NOUN	case	в	в	ADP	_	_	_	_	374.3136804649331	401
раз	раз	NOUN	case	В	в	ADP	_	_	_	_	374.3136804649331	401
руб	рубль	NOUN	nummod	0	0	NUM	_	_	_	_	370.579878166031	397
входе	вход	NOUN	case	на	на	ADP	_	_	_	_	369.64642759130544	396
высоте	высота	NOUN	case	на	на	ADP	_	_	_	_	369.64642759130544	396
столом	стол	NOUN	case	за	за	ADP	_	_	_	_	366.84607586712895	393
гриле	гриль	NOUN	case	на	на	ADP	_	_	_	_	366.84607586712895	393
раз	раз	NOUN	advmod	не	не	PART	_	_	_	_	366.84607586712895	393
окна	окно	NOUN	case	у	у	ADP	_	_	_	_	356.57811954514824	382
ресторанах	ресторан	NOUN	case	в	в	ADP	_	_	_	_	353.77776782097163	379
рублей	рубль	NOUN	nummod	0	0	NUM	_	_	_	_	350.9774160967951	376
овощами	овощ	NOUN	case	с	с	ADP	_	_	_	_	345.376712648442	370
конце	конец	NOUN	case	в	в	ADP	_	_	_	_	345.376712648442	370
раз	раз	NOUN	nummod:gov	один	один	NUM	_	_	_	_	341.64291034953993	366
минут	минута	NOUN	nummod	2	2	NUM	_	_	_	_	341.64291034953993	366
столах	стол	NOUN	case	на	на	ADP	_	_	_	_	336.0422069011868	360
руб	рубль	NOUN	nummod	1	1	NUM	_	_	_	_	333.2418551770102	357
обслуживание	обслуживание	NOUN	cc	и	и	CCONJ	_	_	_	_	324.84080000448057	348
музыка	музыка	NOUN	amod	живая	живой	ADJ	_	_	_	_	324.84080000448057	348
меру	мера	NOUN	case	в	в	ADP	_	_	_	_	323.9073494297551	347
сайте	сайт	NOUN	case	на	на	ADP	_	_	_	_	317.3731954066764	340
месте	место	NOUN	case	на	на	ADP	_	_	_	_	315.50629425722536	338
улыбкой	улыбка	NOUN	case	с	с	ADP	_	_	_	_	311.7724919583233	334
субботу	суббота	NOUN	case	в	в	ADP	_	_	_	_	308.0386896594212	330
столиком	столик	NOUN	case	за	за	ADP	_	_	_	_	304.30488736051916	326
курицей	курица	NOUN	case	с	с	ADP	_	_	_	_	303.3714367857936	325
руб	рубль	NOUN	nummod	2	2	NUM	_	_	_	_	300.57108506161705	322
меню	меню	NOUN	case	из	из	ADP	_	_	_	_	299.63763448689156	321
человек	человек	NOUN	case	на	на	ADP	_	_	_	_	298.70418391216606	320
года	год	NOUN	nummod	2	2	NUM	_	_	_	_	297.7707333374405	319
сторону	сторона	NOUN	case	в	в	ADP	_	_	_	_	293.1034804638129	314
время	время	NOUN	det	все	весь	DET	_	_	_	_	290.30312873963635	311
раз	раз	NOUN	amod	второй	второй	ADJ	_	_	_	_	290.30312873963635	311
ресторане	ресторан	NOUN	case	В	в	ADP	_	_	_	_	285.63587586600875	306
жизни	жизнь	NOUN	case	в	в	ADP	_	_	_	_	284.70242529128325	305
рту	рот	NOUN	case	во	в	ADP	_	_	_	_	284.70242529128325	305
деле	дело	NOUN	amod	самом	самый	ADJ	_	_	_	_	283.76897471655775	304
пятницу	пятница	NOUN	case	в	в	ADP	_	_	_	_	280.9686229923812	301
морепродуктами	морепродукт	NOUN	case	с	с	ADP	_	_	_	_	280.03517241765564	300
раз	раз	NOUN	amod	следующий	следующий	ADJ	_	_	_	_	280.03517241765564	300
случае	случай	NOUN	case	в	в	ADP	_	_	_	_	280.03517241765564	300
этаже	этаж	NOUN	amod	втором	второй	ADJ	_	_	_	_	278.16827126820465	298
видом	вид	NOUN	case	с	с	ADP	_	_	_	_	273.50101839457705	293
деле	дело	NOUN	case	на	на	ADP	_	_	_	_	272.5675678198515	292
пюре	пюре	NOUN	case	с	с	ADP	_	_	_	_	271.634117245126	291
месте	место	NOUN	det	этом	этот	DET	_	_	_	_	262.2996114978708	281
кухней	кухня	NOUN	case	с	с	ADP	_	_	_	_	261.3661609231453	280
место	место	NOUN	case	в	в	ADP	_	_	_	_	261.3661609231453	280
зале	зал	NOUN	case	В	в	ADP	_	_	_	_	260.43271034841973	279
еда	еда	NOUN	amod	вкусная	вкусный	ADJ	_	_	_	_	260.43271034841973	279
столику	столик	NOUN	case	к	к	ADP	_	_	_	_	259.49925977369423	278
меню	меню	NOUN	case	по	по	ADP	_	_	_	_	258.56580919896874	277
вечер	вечер	NOUN	case	за	за	ADP	_	_	_	_	252.96510575061563	271
сожалению	сожаление	NOUN	case	К	к	ADP	_	_	_	_	252.0316551758901	270
меню	меню	NOUN	case	В	в	ADP	_	_	_	_	251.09820460116458	269
стороны	сторона	NOUN	case	с	с	ADP	_	_	_	_	251.09820460116458	269
уровне	уровень	NOUN	amod	высшем	высший	ADJ	_	_	_	_	250.16475402643903	268
заведения	заведение	NOUN	det	этого	этот	DET	_	_	_	_	250.16475402643903	268
момент	момент	NOUN	case	в	в	ADP	_	_	_	_	248.29785287698803	266
день	день	NOUN	case	на	на	ADP	_	_	_	_	246.43095172753695	264
смысле	смысл	NOUN	case	в	в	ADP	_	_	_	_	246.43095172753695	264
стол	стол	NOUN	case	за	за	ADP	_	_	_	_	245.49750115281148	263
друг	друг	NOUN	fixed	друга	друг	NOUN	_	_	_	_	244.56405057808595	262
стенах	стена	NOUN	case	на	на	ADP	_	_	_	_	244.56405057808595	262
руб	рубль	NOUN	nummod	50	50	NUM	_	_	_	_	242.6971494286349	260
ресторана	ресторан	NOUN	case	от	от	ADP	_	_	_	_	242.6971494286349	260
раза	раз	NOUN	nummod:gov	два	два	NUM	_	_	_	_	241.76369885390937	259
руб	рубль	NOUN	nummod	00	00	NUM	_	_	_	_	240.83024827918388	258
компании	компания	NOUN	case	в	в	ADP	_	_	_	_	239.89679770445835	257
часа	час	NOUN	nummod	пол	пол	NUM	_	_	_	_	239.89679770445835	257
вопрос	вопрос	NOUN	case	На	на	ADP	_	_	_	_	238.0298965550073	255
рублей	рубль	NOUN	nummod	1	1	NUM	_	_	_	_	237.0964459802818	254
соусом	соус	NOUN	cc	и	и	CCONJ	_	_	_	_	236.16299540555627	253
заведение	заведение	NOUN	amod	данное	данный	ADJ	_	_	_	_	235.22954483083075	252
картофелем	картофель	NOUN	case	с	с	ADP	_	_	_	_	234.29609425610522	251
время	время	NOUN	det	это	этот	DET	_	_	_	_	234.29609425610522	251
человек	человек	NOUN	nummod	1	1	NUM	_	_	_	_	234.29609425610522	251
входе	вход	NOUN	case	На	на	ADP	_	_	_	_	232.4291931066542	249
деньги	деньги	NOUN	case	за	за	ADP	_	_	_	_	231.49574253192867	248
кухне	кухня	NOUN	case	на	на	ADP	_	_	_	_	231.49574253192867	248
раз	раз	NOUN	det	каждый	каждый	DET	_	_	_	_	231.49574253192867	248
входе	вход	NOUN	case	при	при	ADP	_	_	_	_	229.62884138247765	246
тарелке	тарелка	NOUN	case	на	на	ADP	_	_	_	_	228.69539080775212	245
этаж	этаж	NOUN	amod	второй	второй	ADJ	_	_	_	_	223.09468735939902	239
руб	рубль	NOUN	nummod	3	3	NUM	_	_	_	_	222.1612367846735	238
порядке	порядок	NOUN	case	в	в	ADP	_	_	_	_	221.22778620994796	237
человека	человек	NOUN	case	на	на	ADP	_	_	_	_	221.22778620994796	237
баре	бар	NOUN	case	в	в	ADP	_	_	_	_	220.29433563522244	236
любителя	любитель	NOUN	case	на	на	ADP	_	_	_	_	220.29433563522244	236
выбор	выбор	NOUN	case	на	на	ADP	_	_	_	_	217.4939839110459	233
телефону	телефон	NOUN	case	по	по	ADP	_	_	_	_	217.4939839110459	233
кухню	кухня	NOUN	case	на	на	ADP	_	_	_	_	216.56053333632036	232
время	время	NOUN	amod	последнее	последний	ADJ	_	_	_	_	215.62708276159486	231
вечер	вечер	NOUN	case	в	в	ADP	_	_	_	_	215.62708276159486	231
этаж	этаж	NOUN	case	на	на	ADP	_	_	_	_	212.82673103741828	228
вкусом	вкус	NOUN	case	со	с	ADP	_	_	_	_	211.8932804626928	227
пару	пара	NOUN	nmod	раз	раз	NOUN	_	_	_	_	211.8932804626928	227
вкус	вкус	NOUN	det	мой	мой	DET	_	_	_	_	210.02637931324173	225
ресторана	ресторан	NOUN	det	этого	этот	DET	_	_	_	_	206.29257701433966	221
спасибо	спасибо	NOUN	amod	Отдельное	отдельный	ADJ	_	_	_	_	206.29257701433966	221
входа	вход	NOUN	case	у	у	ADP	_	_	_	_	203.49222529016313	218
наличии	наличие	NOUN	case	в	в	ADP	_	_	_	_	203.49222529016313	218
стойкой	стойка	NOUN	case	за	за	ADP	_	_	_	_	202.55877471543758	217
вопрос	вопрос	NOUN	case	на	на	ADP	_	_	_	_	199.75842299126106	214
детьми	ребенок	NOUN	case	с	с	ADP	_	_	_	_	197.89152184181	212
баранины	баранина	NOUN	case	из	из	ADP	_	_	_	_	197.89152184181	212
вечер	вечер	NOUN	det	весь	весь	DET	_	_	_	_	197.89152184181	212
кухня	кухня	NOUN	cc	и	и	CCONJ	_	_	_	_	196.95807126708448	211
мясом	мясо	NOUN	case	с	с	ADP	_	_	_	_	196.95807126708448	211
спасибо	спасибо	NOUN	amod	огромное	огромный	ADJ	_	_	_	_	196.02462069235898	210
женой	жена	NOUN	case	с	с	ADP	_	_	_	_	196.02462069235898	210
рублей	рубль	NOUN	nummod	2	2	NUM	_	_	_	_	195.09117011763342	209
проведения	проведение	NOUN	case	для	для	ADP	_	_	_	_	195.09117011763342	209
раз	раз	NOUN	amod	Первый	первый	ADJ	_	_	_	_	195.09117011763342	209
раза	раз	NOUN	case	в	в	ADP	_	_	_	_	193.2242689681824	207
рублей	рубль	NOUN	case	за	за	ADP	_	_	_	_	192.2908183934569	206
конца	конец	NOUN	case	до	до	ADP	_	_	_	_	192.2908183934569	206
обед	обед	NOUN	case	на	на	ADP	_	_	_	_	192.2908183934569	206
десерт	десерт	NOUN	case	на	на	ADP	_	_	_	_	191.35736781873135	205
тарелке	тарелка	NOUN	case	в	в	ADP	_	_	_	_	190.42391724400585	204
раз	раз	NOUN	amod	последний	последний	ADJ	_	_	_	_	190.42391724400585	204
спасибо	спасибо	NOUN	amod	отдельное	отдельный	ADJ	_	_	_	_	190.42391724400585	204
заведениях	заведение	NOUN	case	в	в	ADP	_	_	_	_	189.49046666928032	203
туалете	туалет	NOUN	case	в	в	ADP	_	_	_	_	188.5570160945548	202
взгляд	взгляд	NOUN	case	На	на	ADP	_	_	_	_	187.62356551982927	201
