было	быть	VERB	advmod	не	не	PART	_	_	_	_	1626.5458032779218	1808
понравилось	понравиться	VERB	advmod	очень	очень	ADV	_	_	_	_	869.9501060673397	967
могу	мочь	VERB	advmod	не	не	PART	_	_	_	_	743.1011247276344	826
знаю	знать	VERB	advmod	не	не	PART	_	_	_	_	730.506190410217	812
могу	мочь	VERB	xcomp	сказать	сказать	VERB	_	_	_	_	606.3561235671012	674
понравилось	понравиться	VERB	iobj	мне	я	PRON	_	_	_	_	546.0803664766031	607
люблю	любить	VERB	nsubj	я	я	PRON	_	_	_	_	475.00895139974705	528
остались	остаться	VERB	obl	довольны	довольный	ADJ	_	_	_	_	475.00895139974705	528
понравилось	понравиться	VERB	advmod	не	не	PART	_	_	_	_	452.5179972615015	503
принесли	принести	VERB	iobj	нам	мы	PRON	_	_	_	_	442.62197744067333	492
хотелось	хотеться	VERB	aux	бы	бы	AUX	_	_	_	_	439.02342477855404	488
помню	помнить	VERB	advmod	не	не	PART	_	_	_	_	425.5288522956067	473
понравилось	понравиться	VERB	nsubj	все	все	PRON	_	_	_	_	413.83355614371897	460
нет	нет	VERB	mark	что	что	SCONJ	_	_	_	_	411.1346416471295	457
есть	быть	VERB	mark	что	что	SCONJ	_	_	_	_	380.54694401911553	423
хотелось	хотеться	VERB	advmod	не	не	PART	_	_	_	_	365.2530952051085	406
понравился	понравиться	VERB	advmod	очень	очень	ADV	_	_	_	_	361.6545425429892	402
знаю	знать	VERB	advmod	Не	не	PART	_	_	_	_	354.4574372187506	394
понравился	понравиться	VERB	iobj	мне	я	PRON	_	_	_	_	335.56503574262433	373
хочется	хотеться	VERB	advmod	не	не	PART	_	_	_	_	321.1708250941472	357
нравится	нравиться	VERB	iobj	мне	я	PRON	_	_	_	_	320.2711869286173	356
может	мочь	VERB	xcomp	быть	быть	VERB	_	_	_	_	304.9773381146103	339
касается	касаться	VERB	nsubj	Что	что	PRON	_	_	_	_	291.48276563166297	324
люблю	любить	VERB	advmod	не	не	PART	_	_	_	_	288.78385113507346	321
заказали	заказать	VERB	nsubj	мы	мы	PRON	_	_	_	_	271.6907259900068	302
решили	решить	VERB	nsubj	мы	мы	PRON	_	_	_	_	264.4936206657682	294
может	мочь	VERB	advmod	не	не	PART	_	_	_	_	262.6943443347086	292
хватает	хватать	VERB	advmod	не	не	PART	_	_	_	_	261.79470616917877	291
оказалось	оказаться	VERB	advmod	не	не	PART	_	_	_	_	259.9954298381191	289
понравилось	понравиться	VERB	iobj	нам	мы	PRON	_	_	_	_	259.09579167258926	288
есть	быть	VERB	cc	но	но	CCONJ	_	_	_	_	251.89868634835068	280
кажется	казаться	VERB	iobj	мне	я	PRON	_	_	_	_	249.19977185176123	277
могу	мочь	VERB	nsubj	я	я	PRON	_	_	_	_	245.60121918964194	273
